extractor_name,extractor_url,extractor_description
beninwebtv,https://beninwebtv.com/,
jeuneafrique,https://www.jeuneafrique.com/,
africa-confidential,https://www.africa-confidential.com/,
google_news,https://news.google.com/,
newsapi,https://www.newsapi.ai/,
