title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,source,lang,content,source_name
"Cesária Évora, la diva aux pieds nus comme rarement vue",,,,"Dans un documentaire truffé d’images d’archives personnelles et inédites, la réalisatrice portugaise Ana Sofia Fonseca brosse le portrait intime de celle qui a inscrit le Cap-Vert sur la carte du monde.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3249x0.2825/https://prod.cdn-medias.jeuneafrique.com/medias/2023/11/29/jad20231129-cm-cap-vert-cesaria-evora-01.jpg",https://www.jeuneafrique.com/1509536/culture/cesaria-evora-la-diva-aux-pieds-nus-comme-rarement-vue/,cabo verde,,jeuneafrique,fr,,
Football : Sadio Mané « prêt à tout donner » pour les Lions de la Teranga et Liverpool,,,1483660800,"Samedi, le Sénégal, troisième du groupe D (5 points) disputera au Cap Vert un match dont l’importance n’a échappé à personne. Et surtout pas à Sadio Mané. La star des Lions de la Teranga et de Liverpool (Angleterre), qui prend très aux sérieux les Lusophones, qui devancent son équipe d’un point au classement.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2017/10/06/sipa_ap21274506_000030.jpg",https://www.jeuneafrique.com/480950/societe/football-sadio-mane-pret-a-tout-donner-pour-les-lions-de-la-teranga-et-liverpool/,cabo verde,,jeuneafrique,fr,,
Denis Sassou Nguesso – présidentielle 2026 : « Je rendrai compte aux Congolais le moment venu »,,,1704150000,"Échéances électorales, relations avec la Russie, la Chine et la France, crise libyenne, affaire des locations de terres au Rwanda… Sur tous ces points, le chef de l’État congolais apporte son éclairage. Interview exclusive.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3449x0.4225/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/27/jad20240827-ass-congo-itv-denissassounguesso.jpg",https://www.jeuneafrique.com/1596960/politique/denis-sassou-nguesso-presidentielle-2026-je-rendrai-compte-aux-congolais-le-moment-venu/,ethiopia,,jeuneafrique,fr,,
"En Somalie, une nouvelle loi « annule » l’accord Éthiopie-Somaliland",,,1704582000,"Le président somalien, Hassan Sheikh Mohamoud, a signé une loi « annulant » le pacte maritime, qu’il estime « illégal », entre l’Éthiopie et la région séparatiste du Somaliland.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/01/07/somaliland.jpg",https://www.jeuneafrique.com/1522304/politique/en-somalie-une-nouvelle-loi-contre-laccord-ethiopie-somaliland/,somalia,,jeuneafrique,fr,,
"Aux Comores, l’hôpital se refait une santé à Moroni",,,1674687600,"En 2024, l’archipel se dotera de son premier CHU moderne, l’hôpital El-Maarouf. L’objectif étant, en plus d’améliorer la couverture sanitaire du pays, d’éviter aux Comoriens de se déplacer à l’étranger pour être correctement pris en charge.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/11/13/jad20231113-objectif-comores-chu-moroni.jpg",https://www.jeuneafrique.com/1498931/societe/aux-comores-lhopital-se-refait-une-sante-a-moroni/,comoros,,jeuneafrique,fr,,
Épidémie de peste à Madagascar : les écoles fermées aux Seychelles par peur de la propagation,,,1484265600,"Après la découverte de deux cas présumés de peste aux Seychelles, maladie qui sévit sur l’île voisine de Madagascar, le gouvernement a ordonné la fermeture des écoles primaires et secondaires, depuis ce vendredi et jusqu’au mardi 17 octobre inclus après la découverte de deux cas présumés de peste, maladie qui sévit sur l’île voisine de Madagascar.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2017/10/13/sipa_ap21183988_000003.jpg",https://www.jeuneafrique.com/483052/societe/epidemie-de-peste-a-madagascar-les-ecoles-fermees-aux-seychelles-par-peur-de-la-propagation/,seychelles,,jeuneafrique,fr,,
"États-Unis, Europe : les soutiens d’Israël ne sont pas les bienvenus en Libye",,,1674687600,Le Parlement proche du maréchal Haftar a menacé de suspendre l’approvisionnement de ces pays en hydrocarbures si « les massacres » de Palestiniens ne cessent pas.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2022/04/07/jad20220407-mmo-libye-haftar-photo2.jpg",https://www.jeuneafrique.com/1497977/politique/etats-unis-europe-les-soutiens-disrael-ne-sont-pas-les-bienvenus-en-libye/,libya,,jeuneafrique,fr,,
"En visite chez Ghazouani, Oligui Nguema espère toujours réintégrer l’UA",,,1705878000,"Selon les informations de Jeune Afrique, le président de la transition gabonaise se rendra le 23 mai à Nouakchott, où il s’entretiendra en tête-à-tête avec le chef de l’État Mohamed Ould Cheikh El Ghazouani. Explications.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4888x0.3201/https://prod.cdn-medias.jeuneafrique.com/medias/2024/05/22/jad20240522-cof-gabon-mauritanie-visite-oligui-nguema.jpg",https://www.jeuneafrique.com/1570456/politique/en-visite-chez-ghazouani-oligui-nguema-espere-toujours-reintegrer-lua/,mauritania,,jeuneafrique,fr,,
"L’ambassadeur du Bénin accrédité au Niger, un pas de plus vers le dégel entre Talon et Tiani",,,1704668400,"Décidée en 2023, la réouverture de l’ambassade du Bénin dans la capitale nigérienne, retardée en raison de la crise diplomatique entre les deux pays, devrait être effective après la prise de fonction officielle, le 6 août, de Gildas Agonkan. Le diplomate avait été nommé il y a un peu plus d’un an.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/08/ja20240808-ass-benin-niger-nouvel-ambassadeur.jpg",https://www.jeuneafrique.com/1596805/politique/lambassadeur-du-benin-accredite-au-niger-un-pas-de-plus-vers-le-degel-entre-talon-et-tiani/,benin,,jeuneafrique,fr,,
Exclusif – François Bozizé a quitté le Tchad pour la Guinée-Bissau,,,1672786800,"Selon les informations de Jeune Afrique, l’ancien président centrafricain a rejoint la Guinée-Bissau ce 3 mars. Le début d’un nouvel exil favorisé par les diplomaties américaine et angolaise.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/03/04/whatsapp-image-2023-03-04-at-182322.jpeg",https://www.jeuneafrique.com/1423993/politique/exclusif-francois-bozize-a-quitte-le-tchad-pour-la-guinee-bissau/,guinea-bissau,,jeuneafrique,fr,,
"En Centrafrique, le successeur de TotalEnergies dans le collimateur de Bangui",,,1704841200,"Censée assurer la relève du géant français des hydrocarbures, l’entreprise Tamoil s’est attirée les foudres de Bangui. En cause : son incapacité à approvisionner le marché intérieur en produits pétroliers.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/10/jad20240610-eco-rca-temoil-petrole-bangui.jpg",https://www.jeuneafrique.com/1575808/economie-entreprises/en-centrafrique-le-successeur-de-totalenergies-dans-le-collimateur-de-bangui/,central african republic,,jeuneafrique,fr,,
"Entre Bozizé et Touadéra, le coup de bluff d’Ali Darassa ?",,,1706396400,"Fin juillet, Ali Darassa a fait part de son intention de rendre les armes et de négocier avec le pouvoir de Faustin-Archange Touadéra. Mais à quoi joue vraiment le leader rebelle, ouvertement désavoué par l’ancien président François Bozizé ? Coulisses.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/19/jad20240819-ass-centrafrique-ali-darassa.jpg",https://www.jeuneafrique.com/1602476/politique/entre-bozize-et-touadera-le-coup-de-bluff-dali-darassa/,gabon,,jeuneafrique,fr,,
